Description,Designator,Quantity,Manufacturer 1,Manufacturer Part Number 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1,Footprint,LibRef,Supplier Currency 1,Supplier Order Qty 1,Supplier Stock 1,Supplier Subtotal per Board 1

"","CON2","1","","","","","","","microUSB-CHINA","Micro USB CHINA 1","","","",""
"","U2","1","","","","","","","E22-900M30S","E22-900M30S","","","",""
"1.25mm (.049") Pitch PicoBlade Header, Surface Mount, Right Angle, Lead-free, 14 Circuits","CON1","1","","","Farnell","1125364","","","53261-1471","53261-1471","","","",""
"16MHz ±20ppm Crystal 10pF 150 Ohm -40°C ~ 85°C  Surface Mount 4-SMD, No Lead (DFN, LCC)","Y1","1","","","Farnell","2467762","","","CRY2.5X2","16MHz","","","",""
"32.768KHz 4pF Max. ESR 81 Kohms","X1","1","","","Farnell","2467860","","","CRY2X1.2","ABS06-107-32.768KHZ-T","","","",""
"Antenna SMD -4dBi Gain 870MHz/928MHz Automotive 7-Pin SMD T/R","A1","1","","","Mouser","237-SR42I010-R","","","LORA_PCB_ANTENNA","SR42I010-R","","","",""
"BOURNS - CR0603-J/-000ELF - RES, THICK FILM, 0R, 5%, 0.1W, 0603","R1, R2, R3, R17, R18, R20, R21, R22, R23, R26, R27","11","","","Farnell","2008343","","","RES0603","0R","","","",""
"BROADCOM LIMITED - HSMS-C190 - LED, RED, 10MCD, 626NM","D1, D2","2","","","Farnell","2497356","","","LED0603","LED RED","","","",""
"Cap Ceramic 330pF 50V C0G 5% SMD 0603 125C Paper T/R","C16","1","","","Farnell","2496902","","","CAP0603","330pF","","","",""
"FERRITE CHIP 220 OHM 0805","FB1, FB2","2","","","Farnell","1515661","","","IND0805","BLM21PG221SN1D","","","",""
"IC MCU 32BIT 192KB FLASH 48LQFP","U1","1","","","Mouser","511-STM32L072CZT6","","","TSQFP50P900X900X160-48N","STM32L072CZT6","","","",""
"IC REG LINEAR 3.3V 250MA SOT23-5","U5","1","","","Digi-Key","296-15812-1-ND","","","SOT95P280X145-5N","TPS73233DBVT","","","",""
"Inductor RF Chip Multi-Layer 4.3nH 0.3nH 100MHz 8Q-Factor Air 300mA 210mOhm DCR 0402 Paper T/R","L3","1","","","Digi-Key","490-6563-1-ND","","","IND0402","4.3nH/0402","","","",""
"KEMET - C0603X103K5RECAUTO - CAP, MLCC, AEC-Q200, X7R, 0.01UF, 50V","C21","1","","","Farnell","2760492","","","CAP0603","10nF","","","",""
"MICROCHIP   24AA02E48T-I/OT   EEPROM, EUI-48 Node Identity, 2 Kbit, 2 BLK (128K x 8bit), 400 kHz, I2C, SOT-23, 5 Pins","U3","1","","","Farnell","1688855","","","SOT95P280X145-5N","24AA02E48T-I/OT","","","",""
"Mounting Hole M2 Plated","MH2, MH3","2","","","","","","","MOUNTING HOLE M2 PLATED","Mounting Hole M2 Plated","","","",""
"MULTICOMP         MCWR06X27R0FTL            Surface Mount Chip Resistor, Thick Film, MCWR Series, 27 ohm, 100 mW,  1%, 50 V","R24, R25","2","","","Farnell","2447316","","","RES0603","27R","","","",""
"MULTICOMP - MC0063W060311M - RES, THICK FILM, 1M, 1%, 0.063W, 0603","R19","1","","","Farnell","9330410","","","RES0603","1M","","","",""
"MULTICOMP - MCMR06X103 JTL - RES, CERAMIC, 10K, 5%, 0.1W, 0603","R8, R11","2","","","Farnell","2073356","","","RES0603","10k","","","",""
"MULTICOMP - MCMR06X471 JTL - RES, CERAMIC, 470R, 5%, 0.1W, 0603","R4, R5","2","","","Farnell","2073513","","","RES0603","470R","","","",""
"MULTICOMP - MCMR06X4701FTL - RES, CERAMIC, 4K7, 1%, 0.1W, 0603","R6, R7","2","","","Farnell","2073509","","","RES0603","4k7","","","",""
"MULTICOMP - MCWR06X2200FTL - RES, THICK FILM, 220R, 1%, 0.1W, 0603","R9","1","","","Farnell","2447298","","","RES0603","220R","","","",""
"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 2.2pF 50Volts C0G +/-0.05pF","C1","1","","","Farnell","2781431","","","CAP0402","2.2iF/0402","","","",""
"MURATA - GRM188R61H105KAALD - CAP, MLCC, X5R, 1UF, 50V, 0603","C3, C4, C5, C20","4","","","Farnell","1845736","","","CAP0603","1uF","","","",""
"MURATA - GRM188R71C104KA01J - CAP, MLCC, X7R, 0.1UF, 16V, 0603","C2, C6, C7, C8, C9, C10, C13, C17, C18, C19","10","","","Farnell","2688519","","","CAP0603","100nF","","","",""
"MURATA - GRM1885C1H200JA01D - CAPACITOR, MLCC, C0G, 20PF, 50V, 0603","C11, C12, C14, C15","4","","","Farnell","2456108","","","CAP0603","20pF","","","",""
"RESISTOR, 0402, 0R, ANTI SULFURATION","R10","1","","","Farnell","2072513","","","RES0402","0R/0402","","","",""
"SWITCH TACTILE SPST-NO 0.05A 32V","S1","1","","","Farnell","2845727","","","SW","KMR221NGLFS","","","",""
"TVS DIODE 5.25VWM 17VC SOT23-6","U4","1","","","Farnell","1269406","","","SOT95P280X145-6N","USBLC6-2SC6","","","",""
