Altium Designer Pick and Place Locations
C:\Users\vojislav\OneDrive\IRNAS-Common\_NEW-IRNAS-COMMON\opencollar-io\Electronics\gps-tag-lora-addon-hardware\gps-tag-lora-addon\Project Outputs for gps-tag-lora-addon\Pick Place\Pick Place for gps-tag-lora-addon(standalone).csv

========================================================================================================================
File Design Information:

Date:       04/04/19
Time:       12:48
Revision:   7011459a65a07cb04dda92e9e9490eccb2cc3684
Variant:    standalone
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"R23","RES0402","14.5500","5.9000","14.5500","5.9000","15.0500","5.9000","TopLayer","180","0R"
"U6","QFN40P300X300X105_HS-25N","35.0750","26.1500","35.0750","26.1500","34.0750","24.6500","TopLayer","90","MPU-9250"
"R22","RES0603","39.0000","27.9250","39.0000","27.9250","38.2500","27.9250","TopLayer","360","10k"
"R21","RES0603","42.5500","27.5380","42.5500","27.5380","43.3000","27.5380","TopLayer","180","0R"
"R10","RES0603","42.5500","26.0000","42.5500","26.0000","43.3000","26.0000","TopLayer","180","0R"
"C23","CAP0603","32.1500","26.7000","32.1500","26.7000","32.1500","27.4500","TopLayer","270","100nF"
"C22","CAP0603","38.1000","24.1500","38.1000","24.1500","38.1000","23.4000","TopLayer","90","10nF"
"C21","CAP0603","39.0250","26.4750","39.0250","26.4750","39.7750","26.4750","TopLayer","180","100nF"
"CON1","53261-1471","19.2060","31.4580","29.8560","32.7080","27.3560","30.2080","TopLayer","180","53261-1471"
"R12","RES0603","16.9500","26.6500","16.9500","26.6500","16.9500","27.4000","TopLayer","270","0R"
"R11","RES0603","36.5500","29.7750","36.5500","29.7750","37.3000","29.7750","TopLayer","180","10k"
"U3","SOT95P280X145-5N","52.3750","7.9500","52.3750","7.9500","51.0000","8.9000","TopLayer","360","24AA02E48T-I/OT"
"U5","SOT95P280X145-5N","53.5500","15.2000","53.5500","15.2000","54.9250","14.2500","TopLayer","180","TPS78326DDCT"
"U4","SOT95P280X145-6N","50.4000","23.7750","50.4000","23.7750","51.7750","22.8250","TopLayer","180","USBLC6-2SC6"
"U2","E22-900M22S","24.0250","13.1250","24.0250","13.1250","31.0200","4.6250","TopLayer","360","E22-900M22S"
"U1","TSQFP50P900X900X160-48N","42.3040","10.7020","42.3040","10.7020","45.0540","14.9520","TopLayer","270","STM32L072CZ"
"A1","LORA_PCB_ANTENNA","5.6000","12.2500","5.6000","12.2500","9.9000","7.2000","TopLayer","90","SR42I010-R"
"Y1","CRY2.5X2","41.1500","19.3500","41.1500","19.3500","41.9750","19.9750","TopLayer","180","16MHz"
"X1","CRY2X1.2","46.3679","18.7030","46.3679","18.7030","45.6429","18.7030","TopLayer","0","32.768KHZ"
"S1","SW","42.0930","32.5200","42.1750","32.3500","44.1430","31.7200","TopLayer","180","KMR221NGLFS"
"R25","RES0603","45.6000","24.6060","45.6000","24.6060","46.3500","24.6060","TopLayer","180","27R"
"R24","RES0603","45.6000","22.9550","45.6000","22.9550","46.3500","22.9550","TopLayer","180","27R"
"R20","RES0603","12.3560","26.6500","12.3560","26.6500","12.3560","27.4000","TopLayer","270","0R"
"R19","RES0603","52.5750","28.3250","52.5750","28.3250","52.5750","29.0750","TopLayer","270","1M"
"R18","RES0603","13.9000","26.6500","13.9000","26.6500","13.9000","27.4000","TopLayer","270","0R"
"R17","RES0603","15.4250","26.6500","15.4250","26.6500","15.4250","27.4000","TopLayer","270","0R"
"R9","RES0603","40.2750","17.1750","40.2750","17.1750","41.0250","17.1750","TopLayer","180","220R"
"R8","RES0603","56.6500","15.7000","56.6500","15.7000","56.6500","16.4500","TopLayer","270","10k"
"R7","RES0603","49.1250","8.5000","49.1250","8.5000","49.1250","7.7500","TopLayer","90","4k7"
"R6","RES0603","49.0500","5.4250","49.0500","5.4250","49.0500","6.1750","TopLayer","270","4k7"
"R5","RES0603","48.5000","29.6000","48.5000","29.6000","48.5000","30.3500","TopLayer","270","470R"
"R4","RES0603","46.8000","29.6000","46.8000","29.6000","46.8000","30.3500","TopLayer","270","470R"
"R3","RES0603","27.3750","26.6250","27.3750","26.6250","27.3750","25.8750","TopLayer","90","0R"
"R2","RES0603","28.9250","26.6250","28.9250","26.6250","28.9250","27.3750","TopLayer","270","0R"
"R1","RES0603","30.4500","26.6250","30.4500","26.6250","30.4500","25.8750","TopLayer","90","0R"
"L3","IND0402","11.8750","6.7000","11.8750","6.7000","11.8750","6.2300","TopLayer","90","4.3nH"
"FB2","IND0805","53.9750","18.5500","53.9750","18.5500","53.1200","18.5500","TopLayer","360","BLM21PG221SN1D"
"FB1","IND0805","34.8750","16.8000","34.8750","16.8000","34.8750","15.9450","TopLayer","90","BLM21PG221SN1D"
"D2","LED0603","48.4750","32.9500","48.4750","32.9500","48.4750","32.1500","TopLayer","90","LED RED"
"D1","LED0603","46.8000","32.9500","46.8000","32.9500","46.8000","32.1500","TopLayer","90","LED RED"
"CON2","microUSB-CHINA","56.6000","23.8500","56.6000","23.8500","55.1750","22.5500","TopLayer","90","microUSB"
"C20","CAP0603","58.7250","14.8250","58.7250","14.8250","58.7250","14.0750","TopLayer","90","1uF"
"C19","CAP0805","53.4750","11.9500","53.4750","11.9500","54.4250","11.9500","TopLayer","180","2.2uF"
"C18","CAP0603","57.5500","18.5500","57.5500","18.5500","58.3000","18.5500","TopLayer","180","100nF"
"C17","CAP0603","52.3250","20.5000","52.3250","20.5000","51.5750","20.5000","TopLayer","360","100nF"
"C16","CAP0603","50.9370","28.3000","50.9370","28.3000","50.9370","27.5500","TopLayer","90","330pF"
"C15","CAP0603","38.8250","19.4500","38.8250","19.4500","38.8250","20.2000","TopLayer","270","20pF"
"C14","CAP0603","41.2250","21.5250","41.2250","21.5250","40.4750","21.5250","TopLayer","360","20pF"
"C13","CAP0603","41.0250","29.7750","41.0250","29.7750","41.7750","29.7750","TopLayer","180","100nF"
"C12","CAP0603","43.9919","19.3904","43.9919","19.3904","43.9919","20.1404","TopLayer","270","20pF"
"C11","CAP0603","48.8179","19.3905","48.8179","19.3905","48.8179","20.1405","TopLayer","270","20pF"
"C10","CAP0603","52.5500","5.2750","52.5500","5.2750","51.8000","5.2750","TopLayer","360","100nF"
"C9","CAP0603","45.6429","4.7250","45.6429","4.7250","44.8929","4.7250","TopLayer","0","100nF"
"C8","CAP0603","33.5500","13.3750","33.5500","13.3750","33.5500","12.6250","TopLayer","90","100nF"
"C7","CAP0603","35.5500","7.6250","35.5500","7.6250","34.8000","7.6250","TopLayer","360","100nF"
"C6","CAP0603","49.8500","13.6296","49.8500","13.6296","50.6000","13.6296","TopLayer","180","100nF"
"C5","CAP0603","49.8750","11.9250","49.8750","11.9250","50.6250","11.9250","TopLayer","180","1uF"
"C4","CAP0603","34.9500","13.3500","34.9500","13.3500","34.9500","12.6000","TopLayer","90","1uF"
"C3","CAP0603","33.6130","20.4170","33.6130","20.4170","33.6130","21.1670","TopLayer","270","1uF"
"C2","CAP0603","35.1130","20.4170","35.1130","20.4170","35.1130","21.1670","TopLayer","270","100nF"
"C1","CAP0402","13.0500","8.9520","13.0500","8.9520","13.0500","8.4720","TopLayer","90","2.2uF"
